"Trait","varG","varE","h2","outliers","r2","cv"
"may_20",0.005,0.035,0.3,6,0.336,27.31
"jun_20",0.004,0.03,0.29,9,0.308,25.86
"jul_20",0.004,0.031,0.26,7,0.315,32.3
"aug_20",0.003,0.015,0.31,8,0.533,26.59
"sep_20",0,0.002,0.22,10,0.534,37.6
"may_21",0.004,0.014,0.42,3,0.554,25.25
"jun_21",0,0.003,0.29,3,0.447,37.2
"jul_21",0.001,0.008,0.33,8,0.683,29.29
"aug_21",0.002,0.009,0.31,6,0.7,30
"sep_21",0,0.002,0.08,13,0.525,59.17
"jun_22",0.008,0.069,0.24,18,0.297,40.17
"jul_22",0.002,0.018,0.25,10,0.473,36.32
"aug_22",0.001,0.005,0.23,12,0.617,43.17
"sep_22",0.002,0.012,0.33,4,0.451,30.88
"total_20",0.058,0.266,0.38,12,0.369,20.46
"total_21",0.029,0.108,0.42,9,0.663,24.24
"total_22",0.04,0.2,0.34,9,0.469,28.15
"may_23",0.008,0.055,0.27,5,0.374,31.34
"jun_23",0.001,0.01,0.16,10,0.633,42.22
"jul_23",0.001,0.01,0.28,3,0.535,47.26
"aug_23",0,0.006,0,15,0.48,60.13
