row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1,26,51,74,100,128,153,184,210,233,255,285,311,334,363,384,411,442,470,495,519,549,582
2,4,27,52,76,101,129,155,186,211,234,257,286,312,335,364,385,413,446,475,496,521,550,584
3,5,28,53,77,104,130,156,187,212,235,258,287,314,337,366,386,414,447,476,498,522,551,585
4,6,29,54,79,107,131,157,188,213,236,262,288,315,338,367,387,416,449,477,499,524,552,586
5,7,30,55,81,108,133,158,189,214,238,263,291,316,339,368,389,420,450,478,502,525,553,587
6,9,32,56,82,111,134,160,190,215,239,264,295,318,342,369,390,421,451,479,503,527,555,588
7,12,33,57,83,112,135,161,191,217,240,265,296,319,343,370,391,422,452,480,504,528,556,593
8,13,34,59,85,113,138,163,193,218,241,266,297,320,344,371,392,423,453,481,505,529,557,594
9,14,36,60,87,115,140,164,194,219,242,267,298,321,350,372,393,425,454,482,506,530,558,596
10,15,37,62,88,116,141,166,195,220,243,268,299,322,351,373,397,427,456,483,507,532,559,598
11,16,40,63,89,117,143,168,196,223,244,269,300,324,353,374,400,428,457,485,508,533,561,599
12,17,41,64,90,118,144,169,198,224,245,271,302,325,354,375,401,432,459,486,509,535,564,600
13,18,42,65,92,119,145,170,199,225,247,272,303,326,355,376,402,435,461,487,510,536,565,601
14,19,44,66,93,120,146,172,200,226,248,273,304,327,356,378,404,436,462,488,511,537,570,605
15,20,46,67,94,121,147,173,201,227,249,274,305,328,357,379,405,437,464,489,512,540,572,607
16,22,47,68,95,123,149,175,204,229,250,275,306,330,358,380,406,438,465,490,513,542,575,608
17,23,48,69,96,124,150,176,206,230,251,280,307,331,360,381,408,439,466,492,514,543,576,609
18,24,49,70,97,125,151,178,207,231,252,282,308,332,361,382,409,440,467,493,515,544,577,603
19,25,50,72,98,126,152,183,208,232,253,284,309,333,362,383,410,441,469,494,518,548,581,NA
22,54,211,315,263,56,496,483,274,271,356,498,401,502,101,436,198,373,124,454,18,46,191,231
23,183,226,339,94,112,355,44,268,519,557,97,63,269,169,273,599,450,62,309,7,386,322,367
24,16,128,201,100,328,321,510,147,514,49,6,391,564,225,291,540,353,36,466,82,390,296,156
25,14,41,220,295,594,314,85,30,581,478,593,245,168,370,200,213,587,477,423,342,98,243,95
26,241,282,133,400,184,55,251,253,267,354,151,453,304,385,575,338,247,410,392,561,588,123,234
27,153,435,601,131,565,107,421,344,521,17,414,350,69,503,235,207,60,362,240,600,160,215,494
28,461,586,409,480,372,266,384,305,511,537,93,432,312,427,34,111,383,275,543,492,413,126,158
29,285,576,366,141,264,28,465,558,570,70,475,378,81,214,166,572,535,404,607,90,380,528,138
30,325,459,77,333,505,4,311,149,462,187,104,493,499,121,37,144,442,369,1,485,196,42,13
31,272,598,232,553,330,26,250,224,262,230,467,319,206,212,351,176,530,9,440,286,89,522,76
32,172,324,549,316,48,513,118,72,68,189,157,479,420,161,548,300,23,533,113,255,115,88,120
33,66,488,248,486,125,223,188,227,236,204,438,457,464,452,208,130,556,5,258,527,559,175,326
34,83,582,299,405,518,509,152,210,416,490,360,515,92,52,337,155,284,146,186,542,331,218,229
35,306,190,335,318,12,358,303,50,249,585,25,117,19,59,67,140,297,469,428,193,512,150,584
36,375,532,145,265,552,332,446,199,381,287,170,119,449,451,550,411,536,376,529,470,24,163,320
37,387,382,194,47,64,135,217,603,116,233,51,544,219,15,495,397,32,406,143,408,507,53,357
38,393,402,308,79,195,439,508,447,374,525,40,134,27,307,288,476,108,22,327,280,605,20,608
39,361,57,298,74,504,129,551,596,437,368,481,379,87,524,96,363,555,456,302,239,482,164,364
40,178,257,334,252,238,65,441,242,29,173,487,506,422,343,577,244,489,389,425,609,33,371,NA
43,12,475,315,311,63,146,65,587,478,453,588,112,306,529,124,519,217,512,227,532,62,411,85
44,189,191,413,125,20,486,196,593,273,436,450,131,163,608,549,72,603,48,101,384,13,190,601
45,74,129,390,451,485,153,357,487,324,406,363,422,416,337,502,508,147,266,134,123,360,166,537
46,527,322,469,242,117,149,178,530,104,229,272,334,204,212,300,194,483,525,551,51,263,496,404
47,440,269,245,96,375,15,503,157,223,188,354,208,372,268,518,158,489,505,120,264,206,437,275
48,368,338,425,253,408,536,358,370,510,200,236,379,145,499,572,410,596,380,432,447,201,184,402
49,470,18,252,47,381,46,548,282,126,220,107,462,540,314,230,155,556,7,464,218,79,507,559
50,284,143,561,121,16,342,319,52,467,609,295,234,364,170,19,36,405,439,50,118,64,400,183
51,214,466,176,249,326,607,37,389,17,1,26,544,87,30,115,88,14,173,235,361,27,198,302
52,23,32,25,577,250,330,511,97,498,457,376,309,225,461,133,9,535,164,161,93,435,599,248
53,100,271,57,89,280,69,303,504,304,308,374,382,247,452,353,492,339,251,288,53,297,141,386
54,383,299,70,318,6,600,135,4,585,49,558,195,513,515,576,82,130,210,325,5,241,239,68
55,108,81,594,509,393,28,172,521,232,542,369,586,92,156,454,193,570,298,215,481,488,320,150
56,524,367,391,307,265,553,465,442,321,331,328,231,60,446,257,564,24,168,128,111,116,421,40
57,423,575,54,476,490,305,66,333,199,605,29,378,351,285,495,262,144,41,274,332,397,140,428
58,409,76,286,287,291,350,356,392,355,233,449,207,67,219,226,550,258,581,598,480,528,138,582
59,56,244,401,387,522,169,151,243,98,34,479,494,335,493,316,427,385,33,160,557,44,240,477
60,441,506,224,77,543,83,438,267,175,238,213,420,343,344,119,42,55,456,565,90,459,113,366
61,94,371,373,555,552,22,312,59,186,584,95,362,152,482,211,187,327,533,296,255,514,414,NA
